Generic,Brand,Class,Adverse reactions,Mechanism
17-alpha-hydroxyprogesterone,Makena,Chemical Structure,"gastrointestinal symptoms (such as abdominal cramps or bloating); edema; breakthrough bleeding, spotting, or withdrawal bleeding; breast tenderness; changes in body weight (increase or decrease); headache; increase in cervical mucus; allergic rash; abscess; pain at the injection site; migraine headaches. C. chloasma or melasma, cholestatic jaundice, rise in blood pressure, mental depression, and amenorrhea during or after treatment. D. posttreatment anovulation, cystitis, hirsutism, loss of scalp hair, changes in libido, changes in appetite, dizziness, fatigue, backache, itching, or amenorrhea. E. The following laboratory tests may be affected by progestins: hepatic function (increased sulfobromophthalein retention and other tests); coagulation tests (increased in prothrombin and Factors VII, VIII, IX, and X); thyroid function tests (increase in PBI and butanol extractable protein-bound iodine, decrease in T3 uptake values. A few instances of coughing, dyspnea, constriction of the ches","Hydroxyprogesterone is a potent, long-acting, progestational steroid ester which transforms proliferative endothelium into secretory endothelium, induces mammary gland duct development, and inhibits the production and/or release of gonadotropic hormone; it also shows slight estrogenic, androgenic, or corticoid effects as well, but should not be relied upon for these effects. In advanced adenocarcinoma of the uterine corpus, Hydroxyprogesterone Caproate Injection, USP in a dosage of 1,000 mg or more, one or more times each week, often induces regressive changes."
"2,2'-dithiobisbenzothiazole",,Allergen,,
"2,2-bis(4-glycidyloxyphenyl)propane",,Allergen,,
2-mercaptobenzothiazole,,Allergen,,
2-mercaptoethanesulfonic acid,,Cytoprotective Agent,,
4-aminobenzoic acid,SwineAid,Established Pharmacologic Classes,,
4-phenylenediamine,,Allergen,,
5-chloro-2-methyl-4-isothiazolin-3-one,,Allergen,,
amphetamine,ADDERALL; ADZENYS,Central Nervous System Stimulant,"Nervous System Anxiety Feeling Jittery Agitation Bruxism Psychiatric Disorders Insomnia Depression Metabolism and Nutritional Disorders Decreased Appetite Weight Decreased Gastrointestinal System Dry Mouth Diarrhea Cardiovascular System Heart Rate Increased Palpitations Genitourinary System Dysmenorrhea Dysmenorrhea was observed in females. Erectile Dysfunction Erectile dysfunction was observed in males. Adverse Reactions Reported by ≥2% or More of Adolescents Taking MYDAYIS and at Least Twice the Incidence in Patients Taking in a Week Clinical Trial Adverse Reaction MYDAYIS Nervous System Dizziness Metabolism and Nutrition Disorders Decreased appetite Weight decreased Psychiatric Disorders Irritability Insomnia Insomnia includes terms: initial insomnia, middle insomnia, terminal insomnia and insomnia. Gastrointestinal Disorders Nausea Abdominal pain upper",Amphetamines are non-catecholamine sympathomimetic amines with CNS stimulant activity. The exact mode of therapeutic action in ADHD is not known.
fluoxetine,PROZAC; SYMBYAX,Selective serotonin reuptake inhibitor,"Nervous System Insomnia Anxiety Nervousness Somnolence Tremor Libido decreased -- Abnormal dreams Respiratory System Pharyngitis Sinusitis Yawn -- -- -- -- -- Skin and Appendages Sweating -- Rash Urogenital System Impotence -- -- -- -- -- Abnormal ejaculation -- -- -- -- Treatment-Emergent Adverse Reactions: Incidence in Major Depressive Disorder, OCD, Bulimia, and Panic Disorder -Controlled Clinical Trials 1,2 Percentage of Patients Reporting Event Major Depressive Disorder, OCD, Bulimia, and Panic Disorder Combined Incidence less than 1%. Includes U.S. data for Major Depressive Disorder, OCD, Bulimia, and Panic Disorder clinical trials, plus non-U.S. data for Panic Disorder clinical trials. /Adverse Reaction Fluoxetine Body as a Whole Headache Asthenia Flu syndrome Fever Cardiovascular System Vasodilatation Digestive System Nausea Diarrhea Anorexia Dry mouth Dyspepsia Constipation Flatulence Vomiting Metabolic and Nutritional Disorders Weight loss Nervous System Insomnia Nervousness","Although the exact mechanism of fluoxetine is unknown, it is presumed to be linked to its inhibition of CNS neuronal uptake of serotonin. 12.2"
