RxCUI,Generic,EPC class candidates,EPC class count
5542,17-alpha-hydroxyprogesterone,Chemical Structure; Established Pharmacologic Classes; Hormone; Progestin; Steroid,5
1306112,"2,2'-dithiobisbenzothiazole",Allergen; Established Pharmacologic Classes; Standardized Chemical Allergen,3
1368138,"2,2-bis(4-glycidyloxyphenyl)propane",Allergen; Established Pharmacologic Classes; Standardized Chemical Allergen,3
1358845,2-mercaptobenzothiazole,Allergen; Established Pharmacologic Classes; Standardized Chemical Allergen,3
1546354,2-mercaptoethanesulfonic acid,Cytoprotective Agent; Established Pharmacologic Classes; Gastrointestinal Agent,3
74,4-aminobenzoic acid,Established Pharmacologic Classes; Vitamin B Complex Member; Vitamin or Mineral,3
1362740,4-phenylenediamine,Allergen; Established Pharmacologic Classes; Standardized Chemical Allergen,3
1367119,5-chloro-2-methyl-4-isothiazolin-3-one,Allergen; Established Pharmacologic Classes; Standardized Chemical Allergen,3
99,6-aminocaproic acid,Antifibrinolytic Agent; Established Pharmacologic Classes; Hematology Agent,3
190521,abacavir,Anti-infective; Antimicrobial; Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor; Nucleic Acid Related Agent; Nucleic Acid Synthesis Inhibitor; Nucleoside Analog Antiviral,9
1921069,abaloparatide,Chemical Structure; Established Pharmacologic Classes; Hormone; Parathyroid Hormone-Related Peptide Analog,4
614391,abatacept,Established Pharmacologic Classes; Immunologic Agent; Selective T Cell Costimulation Modulator,3
1946825,abemaciclib,Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Kinase Inhibitor,4
1100072,abiraterone,Cytochrome P450 17A1 Inhibitor; Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes,4
2591476,abrocitinib,Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Janus Kinase Inhibitor; Kinase Inhibitor,5
2202946,Acacia dealbata pollen extract,Allergen; Allergenic Extract; Established Pharmacologic Classes; Non-Standardized Pollen Allergenic Extract,4
851732,Acacia pollen extract,Allergen; Allergenic Extract; Established Pharmacologic Classes; Non-Standardized Pollen Allergenic Extract,4
1986808,acalabrutinib,Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Kinase Inhibitor,4
16681,acarbose,alpha-Glucosidase Inhibitor; Blood Glucose Regulator; Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes,5
149,acebutolol,beta-Adrenergic Blocker; Cardiovascular Agent; Established Pharmacologic Classes; Nervous System Agent; Receptor Antagonist; Receptor Interaction,6
2721766,aceclidine,Cholinergic Receptor Agonist; Established Pharmacologic Classes; Nervous System Agent; Receptor Agonist; Receptor Interaction,5
1801702,Acer pseudoplatanus pollen extract,Allergen; Allergenic Extract; Established Pharmacologic Classes; Non-Standardized Pollen Allergenic Extract,4
167,acetazolamide,Carbonic Anhydrase Inhibitor; Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes,4
16728,acetohydroxamic acid,Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Urease Inhibitor,4
194,acetylcholine,Cholinergic Receptor Agonist; Established Pharmacologic Classes; Nervous System Agent; Receptor Agonist; Receptor Interaction,5
197,acetylcysteine,Antidote; Antidote for Acetaminophen Overdose; Established Pharmacologic Classes; Mucolytic; Physical or Chemical Agent; Respiratory Agent,6
16818,acitretin,Chemical Structure; Established Pharmacologic Classes; Retinoid,3
1303098,aclidinium,Anticholinergic; Established Pharmacologic Classes; Gastrointestinal Agent; Nervous System Agent; Receptor Antagonist; Receptor Interaction,6
2698312,acoramidis,Established Pharmacologic Classes; Physical or Chemical Agent; Transthyretin Stabilizer,3
905070,Acremonium strictum allergenic extract,Allergen; Allergenic Extract; Established Pharmacologic Classes; Non-Standardized Fungal Allergenic Extract,4
19959,acrivastine,Established Pharmacologic Classes; Histamine-1 Receptor Antagonist; Receptor Antagonist; Receptor Interaction,4
905088,Acrothecium robustum allergenic extract,Allergen; Allergenic Extract; Established Pharmacologic Classes; Non-Standardized Fungal Allergenic Extract,4
281,acyclovir,Anti-infective; Antimicrobial; Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor; Nucleic Acid Related Agent; Nucleic Acid Synthesis Inhibitor; Nucleoside Analog Antiviral,11
327361,adalimumab,Established Pharmacologic Classes; Receptor Antagonist; Receptor Interaction; Tumor Necrosis Factor Blocker,4
60223,adapalene,Chemical Structure; Established Pharmacologic Classes; Retinoid,3
16521,adefovir,Anti-infective; Antimicrobial; Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor; Nucleic Acid Related Agent; Nucleic Acid Synthesis Inhibitor; Nucleoside Analog Antiviral,9
296,adenosine,Adenosine Receptor Agonist; Cardiovascular Agent; Established Pharmacologic Classes; Receptor Agonist; Receptor Interaction,5
1430438,afatinib,Enzyme Inhibitor; Enzyme Interaction; Established Pharmacologic Classes; Kinase Inhibitor,4
1232150,aflibercept,Established Pharmacologic Classes; Receptor Antagonist; Receptor Interaction; Vascular Endothelial Growth Factor Inhibitor,4
338817,agalsidase beta,Enzyme; Established Pharmacologic Classes; Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme,3
885183,Agkistrodon piscivorus antivenin,Antibody or Antibody Fragment; Antidote; Antivenin; Established Pharmacologic Classes,4
426,alanine,Amino Acid; Chemical Structure; Established Pharmacologic Classes,3
430,albendazole,Anthelmintic; Anti-infective; Antimicrobial; Antiparasitic; Established Pharmacologic Classes,5
828529,"albumin human, USP",Chemical Structure; Established Pharmacologic Classes; Hematology Agent; Human Serum Albumin; Physical or Chemical Agent,5
1370439,"albumin microspheres, human",Contrast Agent for Ultrasound Imaging; Established Pharmacologic Classes; Imaging Agent; Physical or Chemical Agent,4
435,albuterol,Adrenergic Receptor Agonist; beta-Adrenergic Agonist; beta2-Adrenergic Agonist; Established Pharmacologic Classes; Nervous System Agent; Receptor Agonist; Receptor Interaction; Sympathomimetic Agent,8
1000082,alcaftadine,Established Pharmacologic Classes; Histamine-1 Receptor Antagonist; Receptor Antagonist; Receptor Interaction,4
108088,alclometasone,Chemical Structure; Corticosteroid; Established Pharmacologic Classes; Hormone; Receptor Agonist; Receptor Interaction; Steroid,7
70223,aldesleukin,Established Pharmacologic Classes; Growth Factor; Immunologic Agent; Lymphocyte Growth Factor,4
